conference,year_target,year_dblp,title,venue,authors,doi,ee_url,dblp_key,categories,is_pretrain,is_self_supervised,is_segmentation,is_detection,is_classification,is_generation,is_reconstruction,is_registration,is_tracking,is_pose,is_video,is_three_d,is_multimodal,is_fewshot,is_semi_supervised,is_domain_adaptation,is_robustness,is_graph,is_rl,is_transformer,is_medical,is_autonomous_driving,is_nlp,is_other
ICCV,2021,2021,A Simple Framework for 3D Lensless Imaging with Programmable Masks.,ICCV,Yucheng Zheng; Yi Hua; Aswin C. Sankaranarayanan; M. Salman Asif,10.1109/ICCV48922.2021.00260,https://doi.org/10.1109/ICCV48922.2021.00260,conf/iccv/ZhengHSA21,three_d,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ICCV,2021,2021,Change is Everywhere: Single-Temporal Supervised Object Change Detection in Remote Sensing Imagery.,ICCV,Zhuo Zheng; Ailong Ma; Liangpei Zhang 0001; Yanfei Zhong,10.1109/ICCV48922.2021.01491,https://doi.org/10.1109/ICCV48922.2021.01491,conf/iccv/ZhengMZZ21,detection,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICCV,2021,2021,Ultra-High-Definition Image HDR Reconstruction via Collaborative Bilateral Learning.,ICCV,Zhuoran Zheng; Wenqi Ren; Xiaochun Cao; Tao Wang; Xiuyi Jia,10.1109/ICCV48922.2021.00441,https://doi.org/10.1109/ICCV48922.2021.00441,conf/iccv/ZhengRCWJ21,reconstruction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICCV,2021,2021,DeepMultiCap: Performance Capture of Multiple Characters Using Sparse Multiview Cameras.,ICCV,Yang Zheng; Ruizhi Shao; Yuxiang Zhang 0006; Tao Yu 0007; Zerong Zheng; Qionghai Dai; Yebin Liu,10.1109/ICCV48922.2021.00618,https://doi.org/10.1109/ICCV48922.2021.00618,conf/iccv/ZhengSZ0ZDL21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICCV,2021,2021,Online Pseudo Label Generation by Hierarchical Cluster Dynamics for Adaptive Person Re-identification.,ICCV,Yi Zheng; Shixiang Tang; Guolong Teng; Yixiao Ge; Kaijian Liu; Jing Qin 0001; Donglian Qi; Dapeng Chen,10.1109/ICCV48922.2021.00826,https://doi.org/10.1109/ICCV48922.2021.00826,conf/iccv/ZhengTTGL0QC21,classification;generation;semi_supervised,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ICCV,2021,2021,Deep Relational Metric Learning.,ICCV,Wenzhao Zheng; Borui Zhang; Jiwen Lu; Jie Zhou 0001,10.1109/ICCV48922.2021.01185,https://doi.org/10.1109/ICCV48922.2021.01185,conf/iccv/ZhengZL021,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICCV,2021,2021,3D Human Pose Estimation with Spatial and Temporal Transformers.,ICCV,Ce Zheng; Sijie Zhu; Matías Mendieta; Taojiannan Yang; Chen Chen 0001; Zhengming Ding,10.1109/ICCV48922.2021.01145,https://doi.org/10.1109/ICCV48922.2021.01145,conf/iccv/ZhengZMY0D21,pose;three_d;transformer,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ICCV,2021,2021,In-Place Scene Labelling and Understanding with Implicit Scene Representation.,ICCV,Shuaifeng Zhi; Tristan Laidlow; Stefan Leutenegger; Andrew J. Davison,10.1109/ICCV48922.2021.01554,https://doi.org/10.1109/ICCV48922.2021.01554,conf/iccv/ZhiLLD21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICCV,2021,2021,MGSampler: An Explainable Sampling Strategy for Video Action Recognition.,ICCV,Yuan Zhi; Zhan Tong; Limin Wang 0002; Gangshan Wu,10.1109/ICCV48922.2021.00154,https://doi.org/10.1109/ICCV48922.2021.00154,conf/iccv/ZhiT0W21,classification;video,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ICCV,2021,2021,Learning to Generate Scene Graph from Natural Language Supervision.,ICCV,Yiwu Zhong; Jing Shi 0005; Jianwei Yang; Chenliang Xu; Yin Li 0003,10.1109/ICCV48922.2021.00184,https://doi.org/10.1109/ICCV48922.2021.00184,conf/iccv/Zhong0YX021,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICCV,2021,2021,CryoDRGN2: Ab initio neural reconstruction of 3D protein structures from real cryo-EM images.,ICCV,Ellen D. Zhong; Adam Lerer; Joseph H. Davis; Bonnie Berger,10.1109/ICCV48922.2021.00403,https://doi.org/10.1109/ICCV48922.2021.00403,conf/iccv/ZhongLDB21,reconstruction;three_d,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ICCV,2021,2021,Graph Contrastive Clustering.,ICCV,Huasong Zhong; Jianlong Wu; Chong Chen 0002; Jianqiang Huang 0001; Minghua Deng; Liqiang Nie; Zhouchen Lin; Xian-Sheng Hua 0001,10.1109/ICCV48922.2021.00909,https://doi.org/10.1109/ICCV48922.2021.00909,conf/iccv/ZhongW0HDNL021,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICCV,2021,2021,T-Net: Effective Permutation-Equivariant Network for Two-View Correspondence Learning.,ICCV,Zhen Zhong; Guobao Xiao; Linxin Zheng; Yan Lu; Jiayi Ma 0001,10.1109/ICCV48922.2021.00196,https://doi.org/10.1109/ICCV48922.2021.00196,conf/iccv/ZhongXZL021,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICCV,2021,2021,Pixel Contrastive-Consistent Semi-Supervised Semantic Segmentation.,ICCV,Yuanyi Zhong; Bodi Yuan; Hong Wu; Zhiqiang Yuan; Jian Peng 0001; Yu-Xiong Wang,10.1109/ICCV48922.2021.00718,https://doi.org/10.1109/ICCV48922.2021.00718,conf/iccv/ZhongYWY0W21,segmentation;semi_supervised,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ICCV,2021,2021,Practical Relative Order Attack in Deep Ranking.,ICCV,Mo Zhou; Le Wang 0003; Zhenxing Niu; Qilin Zhang 0004; Yinghui Xu; Nanning Zheng 0001; Gang Hua 0001,10.1109/ICCV48922.2021.01610,https://doi.org/10.1109/ICCV48922.2021.01610,conf/iccv/Zhou0NZX0021,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICCV,2021,2021,Removing Adversarial Noise in Class Activation Feature Space.,ICCV,Dawei Zhou 0004; Nannan Wang 0001; Chunlei Peng; Xinbo Gao 0001; Xiaoyu Wang 0002; Jun Yu 0001; Tongliang Liu,10.1109/ICCV48922.2021.00778,https://doi.org/10.1109/ICCV48922.2021.00778,conf/iccv/Zhou0P0WYL21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICCV,2021,2021,3D Shape Generation and Completion through Point-Voxel Diffusion.,ICCV,Linqi Zhou; Yilun Du; Jiajun Wu 0001,10.1109/ICCV48922.2021.00577,https://doi.org/10.1109/ICCV48922.2021.00577,conf/iccv/ZhouD021,generation;three_d,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ICCV,2021,2021,Adaptive Graph Convolution for Point Cloud Analysis.,ICCV,Haoran Zhou; Yidan Feng; Mingsheng Fang; Mingqiang Wei; Jing Qin 0001; Tong Lu 0002,10.1109/ICCV48922.2021.00492,https://doi.org/10.1109/ICCV48922.2021.00492,conf/iccv/ZhouFFW0L21,three_d;graph,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
